No.,Planet Name,Planet Host,Num Stars,Num Planets,Discovery Method,Discovery Year,Discovery Facility,Orbital Period Days,Orbit Semi-Major Axis,Mass,Eccentricity,Insolation Flux,Equilibrium Temperature,Spectral Type,Stellar Effective Temperature,Stellar Radius,Stellar Mass,Stellar Metallicity,Stellar Metallicity Ratio,Stellar Surface Gravity,Distance,Gaia Magnitude
1,11 Com b,11 Com,2,1,Radial Velocity,2007,Xinglong Station,326.03,1.29,6165.6,0.231,,,G8 III,4742,19,2.7,-0.35,[Fe/H],2.31,93.1846,4.44038
2,11 UMi b,11 UMi,1,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,516.21997,1.53,4684.8142,0.08,,,,4213,29.79,2.78,-0.02,[Fe/H],1.93,125.321,4.56216
3,14 And b,14 And,1,1,Radial Velocity,2008,Okayama Astrophysical Observatory,185.84,0.83,1525.5,0,,,K0 III,4813,11,2.2,-0.24,[Fe/H],2.63,75.4392,4.91781
4,14 Her b,14 Her,1,2,Radial Velocity,2002,W. M. Keck Observatory,1773.40002,2.93,1481.0878,0.37,,,,5338,0.93,0.9,0.41,[Fe/H],4.45,17.9323,6.383
5,16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,Multiple Observatories,798.5,1.66,565.7374,0.68,,,,5750,1.13,1.08,0.06,[Fe/H],4.36,21.1397,6.06428
6,17 Sco b,17 Sco,1,1,Radial Velocity,2020,Lick Observatory,578.38,1.45,1373.01872,0.06,,,K3 III,4157,25.92,1.22,-0.01,[Fe/H],1.7,124.953,4.75429
7,18 Del b,18 Del,2,1,Radial Velocity,2008,Okayama Astrophysical Observatory,993.3,2.6,3273.5,0.08,,,G6 III,4979,8.5,2.3,-0.052,[Fe/H],2.82,76.222,5.27476
8,1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,Gemini Observatory,,330,3000,,,1700,K7 V,4060,,0.85,,,,139.135,12.0572
9,24 Boo b,24 Boo,1,1,Radial Velocity,2018,Okayama Astrophysical Observatory,30.3506,0.19,289.2253,0.042,,,G3 IV,4893,10.64,0.99,-0.77,[Fe/H],2.42,95.9863,5.3339
10,24 Sex b,24 Sex,1,2,Radial Velocity,2010,Lick Observatory,452.8,1.333,632.46,0.09,,,,5098,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,6.20374
